station,train_no,destination,expected_arr,time_to_station,tfl_status,time
EPY,062,Edgware Road,2026-07-21T14:58:16Z,27,Good Service,2026-07-21 14:58:50.975545+00:00
EPY,076,Edgware Road,2026-07-21T15:01:51Z,242,Good Service,2026-07-21 14:58:50.980584+00:00
PYB,062,Edgware Road,2026-07-21T15:00:52Z,161,Good Service,2026-07-21 14:58:51.086389+00:00
PYB,076,Edgware Road,2026-07-21T15:03:22Z,311,Good Service,2026-07-21 14:58:51.089477+00:00
PSG,062,Edgware Road,2026-07-21T15:03:21Z,310,Good Service,2026-07-21 14:58:51.205837+00:00
PSG,076,Edgware Road,2026-07-21T15:06:21Z,490,Good Service,2026-07-21 14:58:51.210201+00:00
FBY,062,Edgware Road,2026-07-21T15:05:22Z,453,Good Service,2026-07-21 14:58:51.312141+00:00
FBY,075,Edgware Road,2026-07-21T14:58:17Z,28,Good Service,2026-07-21 14:58:51.316282+00:00
FBY,076,Edgware Road,2026-07-21T15:08:22Z,633,Good Service,2026-07-21 14:58:51.319887+00:00
SFS,076,Edgware Road,2026-07-21T14:58:52Z,19,Good Service,2026-07-21 14:59:12.844198+00:00
EPY,076,Edgware Road,2026-07-21T15:01:51Z,199,Good Service,2026-07-21 14:59:12.995161+00:00
PYB,062,Edgware Road,2026-07-21T15:00:52Z,139,Good Service,2026-07-21 14:59:13.177317+00:00
PYB,076,Edgware Road,2026-07-21T15:03:22Z,289,Good Service,2026-07-21 14:59:13.191754+00:00
PSG,062,Edgware Road,2026-07-21T15:03:21Z,287,Good Service,2026-07-21 14:59:13.951806+00:00
PSG,076,Edgware Road,2026-07-21T15:06:21Z,467,Good Service,2026-07-21 14:59:13.957610+00:00
FBY,062,Edgware Road,2026-07-21T15:05:22Z,407,Good Service,2026-07-21 14:59:14.955543+00:00
FBY,076,Edgware Road,2026-07-21T15:08:22Z,587,Good Service,2026-07-21 14:59:14.958115+00:00
SFS,076,Edgware Road,2026-07-21T14:58:52Z,41,Good Service,2026-07-21 14:59:37.964086+00:00
EPY,053,Edgware Road,2026-07-21T15:06:21Z,444,Good Service,2026-07-21 14:59:38.117928+00:00
EPY,062,Edgware Road,2026-07-21T14:59:16Z,19,Good Service,2026-07-21 14:59:38.123770+00:00
EPY,076,Edgware Road,2026-07-21T15:02:51Z,234,Good Service,2026-07-21 14:59:38.129541+00:00
PYB,062,Edgware Road,2026-07-21T15:00:52Z,139,Good Service,2026-07-21 14:59:38.244061+00:00
PYB,076,Edgware Road,2026-07-21T15:03:22Z,289,Good Service,2026-07-21 14:59:38.250602+00:00
PSG,062,Edgware Road,2026-07-21T15:03:21Z,310,Good Service,2026-07-21 14:59:38.351983+00:00
PSG,076,Edgware Road,2026-07-21T15:06:21Z,490,Good Service,2026-07-21 14:59:38.356059+00:00
FBY,053,Edgware Road,2026-07-21T15:13:20Z,862,Good Service,2026-07-21 14:59:38.475243+00:00
FBY,062,Edgware Road,2026-07-21T15:06:20Z,442,Good Service,2026-07-21 14:59:38.481054+00:00
FBY,076,Edgware Road,2026-07-21T15:09:20Z,622,Good Service,2026-07-21 14:59:38.486040+00:00
SFS,053,Edgware Road,2026-07-21T15:03:51Z,270,Good Service,2026-07-21 15:00:00.974995+00:00
SFS,076,Edgware Road,2026-07-21T14:59:51Z,30,Good Service,2026-07-21 15:00:00.985194+00:00
EPY,076,Edgware Road,2026-07-21T15:01:51Z,199,Good Service,2026-07-21 15:00:01.102285+00:00
PYB,062,Edgware Road,2026-07-21T15:00:52Z,139,Good Service,2026-07-21 15:00:01.257876+00:00
PYB,076,Edgware Road,2026-07-21T15:03:22Z,289,Good Service,2026-07-21 15:00:01.265252+00:00
PSG,053,Edgware Road,2026-07-21T15:11:20Z,719,Good Service,2026-07-21 15:00:01.904318+00:00
PSG,062,Edgware Road,2026-07-21T15:04:20Z,299,Good Service,2026-07-21 15:00:01.908422+00:00
PSG,076,Edgware Road,2026-07-21T15:07:20Z,479,Good Service,2026-07-21 15:00:01.912905+00:00
FBY,062,Edgware Road,2026-07-21T15:05:22Z,407,Good Service,2026-07-21 15:00:02.047164+00:00
FBY,076,Edgware Road,2026-07-21T15:08:22Z,587,Good Service,2026-07-21 15:00:02.052098+00:00
WIP,053,Edgware Road,2026-07-21T15:02:24Z,158,Good Service,2026-07-21 15:00:26.269358+00:00
SFS,053,Edgware Road,2026-07-21T15:04:24Z,278,Good Service,2026-07-21 15:00:26.403230+00:00
SFS,076,Edgware Road,2026-07-21T15:00:02Z,16,Good Service,2026-07-21 15:00:26.406880+00:00
EPY,053,Edgware Road,2026-07-21T15:06:21Z,444,Good Service,2026-07-21 15:00:26.516645+00:00
EPY,062,Edgware Road,2026-07-21T14:59:16Z,19,Good Service,2026-07-21 15:00:26.519480+00:00
EPY,076,Edgware Road,2026-07-21T15:02:51Z,234,Good Service,2026-07-21 15:00:26.522083+00:00
PYB,053,Edgware Road,2026-07-21T15:08:54Z,547,Good Service,2026-07-21 15:00:26.901966+00:00
PYB,062,Edgware Road,2026-07-21T15:01:24Z,97,Good Service,2026-07-21 15:00:26.905286+00:00
PYB,076,Edgware Road,2026-07-21T15:04:54Z,307,Good Service,2026-07-21 15:00:26.908964+00:00
PSG,053,Edgware Road,2026-07-21T15:11:54Z,727,Good Service,2026-07-21 15:00:27.156509+00:00
PSG,062,Edgware Road,2026-07-21T15:03:54Z,247,Good Service,2026-07-21 15:00:27.161517+00:00
PSG,076,Edgware Road,2026-07-21T15:06:54Z,427,Good Service,2026-07-21 15:00:27.165424+00:00
FBY,053,Edgware Road,2026-07-21T15:13:53Z,846,Good Service,2026-07-21 15:00:27.272041+00:00
FBY,062,Edgware Road,2026-07-21T15:05:53Z,366,Good Service,2026-07-21 15:00:27.276086+00:00
FBY,076,Edgware Road,2026-07-21T15:09:53Z,606,Good Service,2026-07-21 15:00:27.279494+00:00
WIP,053,Edgware Road,2026-07-21T15:02:53Z,165,Good Service,2026-07-21 15:00:48.931831+00:00
SFS,053,Edgware Road,2026-07-21T15:04:24Z,278,Good Service,2026-07-21 15:00:49.045929+00:00
SFS,076,Edgware Road,2026-07-21T15:00:02Z,16,Good Service,2026-07-21 15:00:49.048962+00:00
EPY,053,Edgware Road,2026-07-21T15:07:23Z,434,Good Service,2026-07-21 15:00:49.410055+00:00
EPY,076,Edgware Road,2026-07-21T15:02:53Z,164,Good Service,2026-07-21 15:00:49.414166+00:00
PYB,053,Edgware Road,2026-07-21T15:09:23Z,554,Good Service,2026-07-21 15:00:49.559542+00:00
PYB,062,Edgware Road,2026-07-21T15:00:53Z,44,Good Service,2026-07-21 15:00:49.566156+00:00
PYB,076,Edgware Road,2026-07-21T15:05:23Z,314,Good Service,2026-07-21 15:00:49.570178+00:00
PSG,053,Edgware Road,2026-07-21T15:11:54Z,727,Good Service,2026-07-21 15:00:49.672872+00:00
PSG,062,Edgware Road,2026-07-21T15:03:54Z,247,Good Service,2026-07-21 15:00:49.678131+00:00
PSG,076,Edgware Road,2026-07-21T15:06:54Z,427,Good Service,2026-07-21 15:00:49.683558+00:00
FBY,053,Edgware Road,2026-07-21T15:14:23Z,854,Good Service,2026-07-21 15:00:49.801225+00:00
FBY,062,Edgware Road,2026-07-21T15:05:24Z,315,Good Service,2026-07-21 15:00:49.805409+00:00
FBY,076,Edgware Road,2026-07-21T15:10:24Z,615,Good Service,2026-07-21 15:00:49.809460+00:00
WIP,053,Edgware Road,2026-07-21T15:02:53Z,165,Good Service,2026-07-21 15:01:13.790394+00:00
SFS,053,Edgware Road,2026-07-21T15:04:24Z,278,Good Service,2026-07-21 15:01:13.906151+00:00
SFS,076,Edgware Road,2026-07-21T15:00:02Z,16,Good Service,2026-07-21 15:01:13.911010+00:00
EPY,053,Edgware Road,2026-07-21T15:05:54Z,320,Good Service,2026-07-21 15:01:14.090633+00:00
EPY,076,Edgware Road,2026-07-21T15:02:24Z,110,Good Service,2026-07-21 15:01:14.094048+00:00
PYB,053,Edgware Road,2026-07-21T15:08:54Z,500,Good Service,2026-07-21 15:01:14.210400+00:00
